r,x
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.403,0.583854
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.404,0.584027
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.405,0.5842
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
2.406,0.584372
