x,y,z
-7.48643,-8.86578,25.6217
-7.50022,-8.87472,25.6197
-7.51397,-8.8837,25.618
-7.52767,-8.89271,25.6164
-7.54132,-8.90176,25.615
-7.55492,-8.91085,25.6138
-7.56848,-8.91996,25.6129
-7.582,-8.92911,25.6121
-7.59547,-8.93829,25.6115
-7.60889,-8.94749,25.6111
-7.62228,-8.95672,25.6109
-7.63562,-8.96598,25.6108
-7.64893,-8.97525,25.611
-7.66219,-8.98455,25.6113
-7.67542,-8.99387,25.6119
-7.6886,-9.0032,25.6126
-7.70175,-9.01256,25.6135
-7.71485,-9.02192,25.6147
-7.72792,-9.0313,25.616
-7.74096,-9.0407,25.6174
-7.75396,-9.0501,25.6191
-7.76692,-9.05951,25.621
-7.77984,-9.06893,25.623
-7.79273,-9.07835,25.6252
-7.80559,-9.08778,25.6276
-7.81841,-9.09721,25.6302
-7.8312,-9.10664,25.633
-7.84395,-9.11607,25.636
-7.85668,-9.1255,25.6391
-7.86936,-9.13492,25.6424
-7.88202,-9.14434,25.646
-7.89464,-9.15375,25.6496
-7.90723,-9.16315,25.6535
-7.91979,-9.17254,25.6576
-7.93232,-9.18192,25.6618
-7.94482,-9.19129,25.6662
-7.95728,-9.20064,25.6708
-7.96971,-9.20997,25.6755
-7.98212,-9.21929,25.6804
-7.99449,-9.22858,25.6856
-8.00683,-9.23786,25.6908
-8.01914,-9.24711,25.6963
-8.03142,-9.25633,25.7019
-8.04367,-9.26553,25.7077
-8.05589,-9.27471,25.7137
-8.06808,-9.28385,25.7199
-8.08023,-9.29296,25.7262
-8.09236,-9.30204,25.7327
-8.10446,-9.31109,25.7393
-8.11652,-9.3201,25.7461
-8.12856,-9.32907,25.7531
-8.14056,-9.33801,25.7603
-8.15254,-9.3469,25.7676
-8.16448,-9.35575,25.7751
-8.1764,-9.36456,25.7827
-8.18828,-9.37333,25.7906
-8.20013,-9.38205,25.7985
-8.21195,-9.39072,25.8067
-8.22373,-9.39934,25.815
-8.23549,-9.40791,25.8234
-8.24721,-9.41643,25.832
-8.25891,-9.42489,25.8408
-8.27057,-9.4333,25.8497
-8.28219,-9.44165,25.8588
-8.29379,-9.44994,25.8681
-8.30535,-9.45817,25.8775
-8.31688,-9.46634,25.887
-8.32837,-9.47445,25.8967
-8.33983,-9.48249,25.9066
-8.35126,-9.49047,25.9166
-8.36265,-9.49838,25.9267
-8.37401,-9.50622,25.937
-8.38533,-9.51398,25.9474
-8.39662,-9.52168,25.958
-8.40787,-9.52931,25.9688
-8.41908,-9.53685,25.9796
-8.43026,-9.54433,25.9906
-8.4414,-9.55172,26.0018
-8.4525,-9.55904,26.0131
-8.46357,-9.56627,26.0245
-8.4746,-9.57343,26.0361
-8.48559,-9.5805,26.0478
-8.49653,-9.58748,26.0596
-8.50744,-9.59438,26.0716
-8.51831,-9.60119,26.0837
-8.52914,-9.60792,26.0959
-8.53993,-9.61455,26.1083
-8.55068,-9.62109,26.1208
-8.56138,-9.62754,26.1334
-8.57204,-9.63389,26.1461
-8.58266,-9.64015,26.159
-8.59324,-9.64631,26.1719
-8.60377,-9.65237,26.185
-8.61425,-9.65833,26.1983
-8.62469,-9.6642,26.2116
-8.63509,-9.66996,26.2251
-8.64544,-9.67561,26.2386
-8.65574,-9.68117,26.2523
-8.66599,-9.68661,26.2661
-8.6762,-9.69195,26.28
-8.68636,-9.69718,26.294
-8.69646,-9.70231,26.3081
-8.70652,-9.70732,26.3223
-8.71653,-9.71222,26.3367
-8.72649,-9.717,26.3511
-8.73639,-9.72167,26.3656
-8.74625,-9.72623,26.3802
-8.75605,-9.73067,26.395
-8.76579,-9.73499,26.4098
