dist,sum_dist
3.97e-05,-29.2901
3.98e-05,-16.5709
3.99e-05,0.588735
4e-05,2.95438
4.01e-05,-45.6568
4.02e-05,-24.193
4.03e-05,-19.8821
4.04e-05,-10.6433
4.05e-05,-30.9043
4.06e-05,-1.01708
4.07e-05,-24.9594
4.08e-05,-13.7236
4.09e-05,16.9382
4.1e-05,-2.98145
4.11e-05,-23.3281
4.12e-05,-21.7381
4.13e-05,-20.2514
4.14e-05,-20.6268
4.15e-05,-16.1911
4.16e-05,-24.4329
4.17e-05,-28.4073
4.18e-05,-33.7992
4.19e-05,-36.8636
4.2e-05,-3.50525
4.21e-05,-22.3855
4.22e-05,-19.0343
4.23e-05,-4.67493
4.24e-05,-5.86835
4.25e-05,-4.19386
4.26e-05,0.793884
4.27e-05,-0.735962
4.28e-05,-22.7493
4.29e-05,-14.2319
4.3e-05,-9.65083
4.31e-05,-16.5277
4.32e-05,-42.4444
4.33e-05,-33.4242
4.34e-05,-15.1133
4.35e-05,-42.279
4.36e-05,22.5892
4.37e-05,-63.3582
4.38e-05,10.0214
4.39e-05,5.92975
4.4e-05,-16.5072
4.41e-05,4.01983
4.42e-05,-12.9521
4.43e-05,-5.95509
4.44e-05,-28.6655
4.45e-05,-8.23505
4.46e-05,-26.5998
4.47e-05,-34.0111
4.48e-05,0.424351
4.49e-05,-20.8819
4.5e-05,-7.60766
4.51e-05,0.0175807
4.52e-05,-1.55737
4.53e-05,-16.6812
4.54e-05,-7.56984
4.55e-05,-22.8327
4.56e-05,-27.9224
4.57e-05,-41.4188
4.58e-05,-17.2866
4.59e-05,2.31802
4.6e-05,-21.7429
4.61e-05,-13.1682
4.62e-05,-46.4607
4.63e-05,-20.7444
4.64e-05,-11.192
4.65e-05,-13.3569
4.66e-05,-7.08025
4.67e-05,10.1145
4.68e-05,-38.4455
4.69e-05,-1.46662
4.7e-05,-19.6888
4.71e-05,-22.9788
4.72e-05,11.5537
4.73e-05,-4.00873
4.74e-05,25.4814
4.75e-05,-2.56156
4.76e-05,-33.419
4.77e-05,-7.86408
4.78e-05,18.2008
4.79e-05,-21.4456
4.8e-05,-9.37626
4.81e-05,-6.09436
4.82e-05,-20.3818
4.83e-05,14.1383
4.84e-05,7.27783
4.85e-05,-1.27352
4.86e-05,-3.13679
4.87e-05,-21.5865
4.88e-05,-7.24251
4.89e-05,-2.81859
4.9e-05,-3.60233
4.91e-05,-4.1249
4.92e-05,-15.8456
4.93e-05,1.62956
4.94e-05,-17.0619
4.95e-05,-32.9647
4.96e-05,-17.0799
4.97e-05,-19.3138
4.98e-05,-28.2314
4.99e-05,-29.9588
5e-05,4.325
5.01e-05,-22.0087
5.02e-05,-18.3149
5.03e-05,-2.76767
5.04e-05,-25.3689
5.05e-05,-5.45071
5.06e-05,-27.8879
5.07e-05,-38.7499
5.08e-05,-12.6193
5.09e-05,10.3789
5.1e-05,7.28524
5.11e-05,-16.8609
5.12e-05,-28.083
5.13e-05,9.13899
5.14e-05,-13.4983
5.15e-05,-13.2069
5.16e-05,-9.34611
5.17e-05,-5.23522
5.18e-05,-28.1035
5.19e-05,-2.17459
5.2e-05,-11.3894
5.21e-05,-12.7895
5.22e-05,-17.2017
5.23e-05,-21.0991
5.24e-05,-41.4692
5.25e-05,-8.23714
5.26e-05,-29.4737
5.27e-05,-25.7908
5.28e-05,7.57619
5.29e-05,-10.5339
5.3e-05,-4.67286
5.31e-05,-27.3457
5.32e-05,-18.0799
5.33e-05,-20.9908
5.34e-05,-14.9476
5.35e-05,0.226059
5.36e-05,-0.691221
5.37e-05,-4.51824
5.38e-05,-26.528
5.39e-05,-16.5406
5.4e-05,-7.66909
5.41e-05,-27.6446
5.42e-05,-8.19929
5.43e-05,-9.87159
5.44e-05,-7.20018
5.45e-05,9.70997
5.46e-05,-2.71761
5.47e-05,-10.5996
5.48e-05,-20.9281
5.49e-05,-39.5046
5.5e-05,-38.9141
5.51e-05,-17.7088
5.52e-05,-2.87114
5.53e-05,-17.4282
5.54e-05,-40.7274
5.55e-05,-21.8061
5.56e-05,10.8469
5.57e-05,-9.64604
5.58e-05,-21.1492
5.59e-05,-42.3061
5.6e-05,-2.65682
5.61e-05,-27.6792
5.62e-05,-42.2299
5.63e-05,-11.8963
5.64e-05,-32.6428
5.65e-05,2.82565
5.66e-05,-20.0833
5.67e-05,9.65781
5.68e-05,-24.5668
5.69e-05,2.12962
5.7e-05,-13.6265
5.71e-05,-10.1276
5.72e-05,-37.1148
5.73e-05,-22.5893
5.74e-05,-26.1041
5.75e-05,-13.048
5.76e-05,-21.4945
5.77e-05,-6.86118
5.78e-05,-34.9018
5.79e-05,-16.335
5.8e-05,-21.6539
5.81e-05,7.48721
5.82e-05,0.925202
5.83e-05,-16.9334
5.84e-05,2.28466
5.85e-05,-17.788
5.86e-05,-21.0143
5.87e-05,-10.7724
5.88e-05,-3.89425
5.89e-05,-44.1249
5.9e-05,1.78126
5.91e-05,-18.0856
5.92e-05,-22.8273
5.93e-05,5.33198
5.94e-05,6.23073
5.95e-05,9.768
5.96e-05,-20.6182
5.97e-05,-24.43
5.98e-05,-18.1402
5.99e-05,-8.13733
6e-05,-18.2268
6.01e-05,-8.49601
6.02e-05,-9.99769
6.03e-05,-18.5991
6.04e-05,-31.1784
6.05e-05,-27.73
6.06e-05,-15.7921
6.07e-05,-20.6991
6.08e-05,-2.03547
